Date,Order,Artist,Track,Correct
2021-10-31,1,No Doubt,BND - Album Version,1
2021-10-31,2,Screamin’ Jay Hawkins,I Put a Spell On You,1
2021-10-31,3,Creedence Clearwater Revival,Bad Moon Rising,1
2021-10-31,4,Halloween,The Addams Family Theme,1
2021-10-31,5,Kate Bush,Get Out Of My House,1
2021-10-31,6,"Susan Sarandon, Barry Bostwick, Richard O'Brien",Over at the Frankenstein Place,1
2021-10-31,7,Louis Armstrong,Jeepers Creepers,1
2021-10-31,8,Frank Sinatra,Witchcraft,1
2021-10-31,9,The Doors,People Are Strange,1
2021-10-31,10,Eagles,Witchy Woman,1
2021-10-31,11,Fleetwood Mac,Black Magic Woman,1
2021-10-31,12,Spooky Tooth,Lost In My Dream,1
2021-10-31,13,David Bowie,Scary Monsters (And Super Creeps),1
2021-10-31,14,Charlie Daniels,The Devil Went Down to Georgia,1
2021-10-31,15,Blue Oyster Cult,(Don't Fear) The Reaper,1
2021-10-31,16,The Rolling Stones,Sympathy For The Devil,1
2021-10-31,17,Mötley Crüe,Shout At The Devil,1
2021-10-31,18,Larry Marks,Scooby-Doo Theme,1
2021-10-31,19,Concrete Blonde,Bloodletting (The Vampire Song),1
2021-10-31,20,The Specials,Ghost Town,1
2021-10-31,21,Meat Loaf,Bat Out of Hell,1
2021-10-31,22,Girlschool,Race with the Devil,1
2021-10-31,23,UFO,Young Blood,1
2021-10-31,24,Alice Cooper,Poison,1
2021-10-31,25,"Michael Jackson, Janet Jackson",Scream,1
2021-10-31,26,Jimi Hendrix,Voodoo Child (Slight Return),1
2021-10-31,27,The Zombies,Time of the Season,1
2021-10-31,28,MC Hammer,Addams Groove,1
2021-10-31,29,Prince,Batdance,1
2021-10-31,30,"Ray Parker, Jr.",Ghostbusters,1
2021-10-31,31,I Monster,The Blue Wrath,1
